Means of travel,Urban Male,Urban Female,Urban Total,Rural Male,Rural Female,Rural Total,Male,Female,Ghana
Public (taxi shared),12.3,11.6,12,4,3.4,3.7,6.9,6.3,6.7
Public (taxi - individual),2.8,3,2.9,0.5,0.7,0.6,1.3,1.5,1.4
Vehicle (trotro),21.7,16.2,19,5.7,5.2,5.4,11.4,9.1,10.3
Bus (Metro Mass),0.4,0.4,0.4,0.2,0.1,0.2,0.3,0.2,0.2
Bus (public),0.9,0.7,0.8,0.2,0.3,0.2,0.4,0.4,0.4
Train,0,0.1,0,0,0,0,0,0,0
Company car/vehicle,0.1,0.1,0.1,1.9,0.6,1.3,1.3,0.4,0.9
Boat/ferry/canoe,3.5,0.7,2.1,0.9,0.2,0.6,1.8,0.4,1.1
Private car,7.9,3.4,5.7,1,0.2,0.6,3.5,1.4,2.5
Motorcycle,6.8,1.3,4.1,3,1.2,2.1,4.4,1.2,2.9
On foot,36.3,59.4,47.4,66.1,82.4,73.9,55.4,74.1,64.4
Bicycle,7.2,2.9,5.1,16.3,5.6,11.2,13.1,4.7,9
Other (specify),0.3,0.4,0.3,0.2,0.1,0.2,0.2,0.2,0.2
