Countries, Population - numbers both sexes, Total deaths all causes (male+female+unknown sex), ASDR per 100 000 - Total deaths all causes both sexes
Albania, 28891732015, 121392010, 346.62010
Anguilla, 912016, ,
Antigua and Barbuda, 999232015, 5282015, 559.12015
Argentina, 434177652015, 3305882015, 566.32015
Armenia, 29923642016, 282262016, 671.32016
Aruba, 1043412015, 6932015, 492.62015
Australia, 237811692015, 1590522015, 344.42015
Austria, 87398062016, 806692016, 381.12016
Azerbaijan, 85813002007, 504392007, 730.12007
Bahamas, 3772402013, 20652013, 544.22013
Bahrain, 13145622014, 26952014, 392.52014
Barbados, 2825092013, 24892013, 550.52013
Belarus, 94896162015, 1215422014, 753.52014
Belgium, 112658342015, 1105412015, 406.82015
Belize, 3592882015, 17722015, 832.32015
Bermuda, 550001983, 4662015, 
Bolivia, 224722003, ,
Bosnia and Herzegovina, 38273432014, 359802014, 570.22014
Brazil, 2059621082015, 12641752015, 606.22015
British Virgin Islands, 1042010, ,
Brunei Darussalam, 4175422015, 15472015, 5962015
Bulgaria, 72239382014, 1089522014, 701.92014
Canada, 352554952013, 2523382013, 3642013
Cabo Verde, 5080672011, 25212011, 732.52011
Cayman Islands, 319001994, 1702013
Chile, 177626812015, 1033272015, 443.42015
Colombia, 482286972015, 2194722015, 497.42015
Costa Rica, 47575752014, 202902014, 394.42014
Croatia, 41743492016, 515422016, 530.62016
Cuba, 114614322015, 996912015, 503.22015
Cyprus, 8498332016, 55872016, 351.42016
Czech Republic, 105652842016, 1077502016, 486.12016
Denmark, 56783482015, 522242015, 414.82015
Dominica, 760001985, 6612015,
Dominican Republic, 375852013, ,
Ecuador, 161443682015, 647902015, 439.22015
Egypt, 889578332015, 5738792015, 1069.92015
El Salvador, 62811892014, 374742014, 620.22014
Estonia, 13146082015, 152432015, 529.62015
Falkland Islands (Malvinas), 181983, ,
Fiji, 8735962012, 67662012, 1089.82012
Finland, 54819662015, 523022015, 3882015
France, 641294842014, 5446182014, 347.82014
French Guiana, 2616232014, 7802014, 419.52014
Georgia, 37171002015, 491212015, 792.92015
Germany, 816866112015, 9252002015, 420.12015
Greece, 108209642015, 1214852015, 4082015
Grenada, 1073172016, 8992016, 869.42016
Guadeloupe, 4508842014, 32792014, 386.62014
Guatemala, 162524292015, 790422015, 691.82015
Guyana, 7580812013, 53782013, 1002.52013
Haiti, 23092004, ,
Honduras, 64772013, ,
Hong Kong SAR, 72913002015, 467572015, 301.52015
Hungary, 98140232016, 1270532016, 616.12016
Iceland, 3354402016, 23102016, 365.92016
Iran (Islamic Rep of), 793604872015, 3274692015, 587.22015
Iraq, 1062452008, ,
Ireland, 46863472014, 292522014, 394.12014
Israel, 85460092016, 442662015, 359.12015
Italy, 607305822015, 6460482015, 351.92015
Jamaica, 28294932011, 169262011, 541.92011
Japan, 1253192992015, 12904442015, 3022015
Jordan, 175572012, ,
Kazakhstan, 175441262015, 1310292015, 813.72015
Kiribati, 1034662011, 5032001, 862.92001
Kuwait, 40394452014, 60312014, 374.62014
Kyrgyzstan, 59572712015, 348092015, 821.62015
Latvia, 19775272015, 281852015, 658.42015
Lithuania, 28682312016, 411062016, 659.82016
Luxembourg, 5696042015, 38392015, 345.52015
Macau, 3779601994, 13291994, 422.31994
Malaysia, 773652014, ,
Maldives, 3751312011, 11442011, 552.72011
Malta, 4319362015, 34432015, 373.82015
Martinique, 3872042014, 33142014, 392.82014
Mauritius, 12212132016, 99202016, 675.62016
Mayotte, 2336382014, 5882014, 427.52014
Mexico, 1258909492015, 6408902015, 5682015
Monaco, 5031987, ,
Mongolia, 30888562016, 161822016, 790.82016
Montenegro, 6315362009, 58662009, 652.42009
Montserrat, 432016, ,
Morocco, 524442014, ,
Netherlands, 170303142016, 1489972016, 385.32016
Netherlands Antilles, 9572000
New Zealand, 44417002013, 296362013, 377.12013
Nicaragua, 60820352015, 223592015, 475.22015
Norway, 51898942015, 406862015, 3612015
Occupied Palestinian Territory, 71772016
Oman, 39928932014, 78192014, 408.22014
Panama, 39692492015, 181822015, 452.22015
Paraguay, 65525842014, 269752014, 517.92014
Peru, 962402015, ,
Philippines, 998742582014, 4984412011, 893.52011
Poland, 379815882015, 3949212015, 547.42015
Portugal, 104010622014, 1052192014, 399.42014
Puerto Rico, 36737282015, 280842015, 446.92015
Qatar, 25698042016, 22072016, 286.22016
Republic of Korea, 509517202015, 2758952015, 351.42015
Republic of Moldova, 35519542016, 384872016, 808.42016
Reunion, 8568672014, 43492014, 403.72014
Rodrigues, 422602016, 2542016,
Romania, 197065292016, 2572152016, 652.72016
Russian Federation, 1464059992015, 19085412015, 821.22015
Saint Kitts and Nevis, 444001992, 3712015
Saint Lucia, 1764212014, 13022014, 621.92014
Saint Pierre and Miquelon, 392010, ,
Saint Vincent and Grenadines, 1094552015, 8792015, 816.62015
San Marino, 328982015, 2192005,
Sao Tome and Principe, 1121001987, 10061987, 1071.81987
Saudi Arabia, 456362012, ,
Serbia, 70953832015, 1036782015, 682.72015
Seychelles, 937422015, 7032015, 981.31987
Singapore, 39026902015, 186402015, 327.32015
Slovakia, 54186492014, 513452014, 576.12014
Slovenia, 20630772015, 198342015, 417.82015
South Africa, 552912252015, 4602362015, 1093.62015
Spain, 464101472015, 4225682015, 347.42015
Sri Lanka, 196701512006, 1174672006, 660.22006
Suriname, 5479282014, 31502014, 656.92014
Sweden, 98375332016, 910712016, 361.32016
Switzerland, 83197692015, 676062015, 333.82015
Syrian Arab Republic, 670242010
Tajikistan, 341262016, ,
TFYR Macedonia, 20674712014, 192082013, 6812013
Thailand, 650134952016, 4690852016, 568.52016
Trinidad and Tobago, 13347882011, 94382011, 671.32011
Tunisia, 218852013, ,
Turkey, 782184792015, 3969712015, 501.12015
Turkmenistan, 55652842015, 322472015, 8092015
Turks and Caicos Islands, 772014, ,
Ukraine, 426752702015, 5947962015, 785.32015
United Arab Emirates, 82706842010, 74132010, 461.22010
United Kingdom, 656480542016, 6027812015, 4092015
United States of America, 3221796052016, 27126302015, 480.22016
Uruguay, 34315522015, 329672015, 540.52015
Uzbekistan, 304996182014, 1497612014, 718.82014
Venezuela (Bolivarian Republic of), 303178482013, 1498762013, 5932013
Virgin Islands (USA), 1049772015, 6552015, 3962015
Zimbabwe, 348291990, ,
